mean_slope,mean_precipitation,imperviousness,flooded,distance_to_drainage ,min_elevation,min_slope,max_slope
18.54,29.24,0,1,0,869,0.57,60.77
1.74,24.49,0,0,1690.02,889,0.57,3.49
4.8,21.94,33,0,634.07,5,0.81,8.6
3.06,21.94,29,0,91.5,5,1.62,4.73
4.42,19.47,47,0,12.74,5,1.28,13.42
3.99,21.94,53,0,394.05,4,1.15,10.57
9.61,16.36,30,0,21.03,1453,5.76,14.5
26.3,27.2,0,0,0,1467,4.93,49.63
27.75,11.01,0,0,0,1734,5.41,54.2
29.28,16.36,19,0,12.44,1455,2.36,54.48
13.08,26.79,8,0,4.1,20,0.81,31.28
6.29,18.62,217,0,32.47,-4,0.57,15.86
8.1,18.62,132,0,5.74,22,1.28,20.27
10.02,18.62,5,0,745.99,22,8.52,11.52
15.7,16.61,0,1,0,1,8.6,20.53
7.55,26.2,28,0,165.22,7,2.07,19.9
9.05,16.61,5,0,57.31,13,4.01,17.25
4.24,17.11,116,0,143.86,14,0,8.96
10.91,18.26,23,0,349.06,27,4.17,15.14
6.3,18.26,103,0,3.24,22,1.62,14.1
5.85,17.11,5,0,140.65,18,5.29,6.17
7.88,16.61,34,0,0,6,0.81,17.8
9.21,19.21,194,0,262.22,10,0.81,30.36
7.55,16.61,2,0,12.58,12,2.07,18
15.82,16.61,0,0,0,7,13.63,18
7.55,16.61,0,0,9.52,5,2.36,16.3
26.64,18.71,0,1,13.27,417,1.72,89.95
26.96,5.19,0,0,5.58,749,3.34,66.54
40.23,5.19,0,0,75.81,666,13.19,90.02
5.77,5.28,0,0,14.95,1069,4.62,6.93
31.12,14.06,0,0,0,1626,11.97,67.18
4.05,17.01,0,0,769.33,11,4.05,4.05
3.08,11.61,49,0,12.76,3,0.81,5.99
8.08,17.89,67,0,110.61,7,0.57,25.96
5.37,19.19,149,0,30.1,1,1.15,12.93
6.24,11.61,93,0,10.83,1,0,16.42
1.99,11.61,2,0,0,0,0,15.3
3.05,25.7,69,0,383.82,7,0.57,7
9.87,24.26,156,0,384.28,12,2.56,19.9
7.06,11.61,7,0,249.09,5,3.85,10.46
3.47,11.61,28,0,197.87,3,0.57,8.6
2.36,16.78,9,0,276.25,5,0.57,4.86
3.51,11.61,18,0,217.55,5,2.29,5.29
7.21,21.94,5,0,379.1,2,2.07,11.61
4.6,21.94,100,0,157.6,-4,0.57,11.93
5.9,21.94,23,0,196.51,2,2.07,10.57
5.88,21.94,19,0,482.32,3,1.62,12.26
3.72,21.94,111,0,321.25,1,0.57,7.3
3.53,21.94,13,0,353.51,1,0.57,7.09
4.43,21.94,42,0,545.93,3,1.62,9.4
4.3,21.94,32,0,246.43,2,0.81,7.34
2.65,20.83,108,0,0,0,0.57,6.41
6.43,13.3,52,0,0,11,0.81,20.64
5.43,15.96,181,0,377.3,7,0,14.33
7.33,13.3,18,0,122.58,10,0.57,20.84
3.53,13.3,6,0,19.02,4,0.81,7.18
7.78,13.42,21,0,0,7,0,27
6.33,13.3,99,0,189.83,2,0,16.63
11.65,13.55,0,0,0,11,2.92,26.51
3.93,28.46,197,0,813.07,7,1.15,8.96
5.79,28.46,11,0,352.06,3,2.56,9.49
4.35,15.96,46,0,7.93,5,1.28,7.99
3.07,25.7,49,0,112.35,6,0.81,7.54
4.19,25.7,6,0,1048.66,11,3.44,4.93
9.21,25.7,10,0,431.44,18,8.62,9.76
6.63,28.55,82,0,221.79,20,0.57,15.08
7.6,25.7,10,0,411.84,17,4.93,9.24
6.09,15.55,0,0,125.27,10,1.62,13.95
8.26,28.45,36,0,138.21,15,3.85,10.91
4.86,28.45,49,0,380.52,18,1.81,8.6
6.54,16.26,2,0,267.08,15,6.54,6.54
12.86,16.26,40,0,198.82,8,4.01,25.34
5.09,16.26,7,0,215.25,13,1.62,6.93
8.91,28.55,196,0,20.7,1,0,23.42
8.68,25.7,3,0,583.58,23,4.48,16.43
5.47,28.45,4,0,119.58,21,3.85,7.09
3.77,28.45,13,0,180.21,12,1.72,4.86
4.46,28.45,10,0,180.21,12,1.72,6.88
6.22,28.45,5,0,238.18,31,3.85,8.6
8.6,28.45,4,0,227.08,31,8.6,8.6
7.7,31.39,13,0,111.9,3,4.17,10.32
0.57,24.31,0,0,256.74,9,0.57,0.57
4.25,21.68,0,0,4.67,8,1.15,10.34
4.04,21.68,96,0,6.11,9,1.28,7.34
7.33,21.68,4,0,71.69,22,2.87,12.26
8.52,21.68,17,0,154.15,24,6.41,11.07
5.43,28.45,32,0,514.49,17,1.62,10.21
6.87,28.45,7,0,494.23,14,5.13,8.62
7.86,28.45,4,0,497.36,16,7.09,8.62
9.85,25.01,32,0,176.11,26,0.57,26.95
2.22,21.94,31,0,710.11,5,0,7.18
3.54,21.94,28,0,917.68,7,0.81,5.73
3.48,21.94,88,0,36.66,5,0.57,8.21
5.51,28.46,120,0,236.89,-2,1.62,10.16
2.76,21.94,17,0,692.8,5,0.57,5.13
3.98,21.94,25,0,719.17,7,2.56,5.44
5.53,21.94,25,0,719.17,9,3.67,7.09
5.87,21.94,29,0,349.09,1,0,12.15
9.53,21.94,2,0,751.29,8,6.9,12.16
6.32,21.94,33,0,277.56,5,2.36,12.15
4.54,21.94,35,0,354.74,6,2.56,7.09
4.51,21.94,53,0,454.82,5,0.57,9.33
5.69,21.94,12,0,530.34,8,4.48,6.49
3.89,21.94,27,0,739.5,8,2.07,5.44
4.15,21.94,25,0,616.51,8,1.15,6.54
4.56,21.94,52,0,693.22,9,1.28,8.6
4.69,21.94,20,0,831.67,7,2.29,7.65
10.22,21.94,45,0,841.85,3,2.07,15.49
4.77,21.94,31,0,673.9,6,0.57,8.75
3.17,21.94,47,0,413.26,6,0.81,5.44
3.65,21.94,53,0,240.81,8,1.62,5.9
3.88,21.94,74,0,313.62,4,1.62,6.93
4.65,21.94,35,0,240.81,6,0,11.47
5.68,21.94,36,0,104.13,2,2.07,10.03
4.08,21.94,1,0,6.62,9,1.28,5.73
4.28,21.94,77,0,724.65,5,1.28,11.82
3.13,21.94,30,0,526.23,8,1.15,4.9
5.43,21.94,34,0,640.65,6,2.92,8.35
3.15,21.94,0,0,170.22,3,0.81,6.93
3.22,21.94,97,0,326.84,6,0.81,6.9
5.17,21.94,70,0,412.08,4,0.81,14.16
2.84,21.94,79,0,400.26,7,0.57,7.99
4.16,21.94,27,0,777.09,5,1.28,7.8
5.34,21.94,56,0,545.17,5,0.57,13.19
5.28,28.46,116,0,17.83,0,1.15,14.16
3.02,21.94,199,0,129.98,5,0.57,7.18
3.09,27.08,148,0,245.34,6,0,6.41
3.73,28.46,61,0,296.36,6,0.81,8.62
4.5,28.46,98,0,19.43,2,0.57,13.3
5.16,28.46,30,0,72.96,1,2.07,9.9
4.12,28.46,67,0,7.1,7,1.28,6.71
2.94,28.46,70,0,338.42,6,0.57,5.29
2.58,28.46,53,0,381.53,9,0.57,6.2
2.37,25.7,32,0,598.49,9,0,4.05
5.15,21.94,15,0,270.52,5,3.49,6.97
3.28,11.61,56,0,0,4,0.57,6.71
4.15,21.94,32,0,20.02,3,0.81,6.93
2.33,28.46,57,0,536.97,5,0.57,6.69
3.14,16.78,15,0,54.42,4,0.81,6.17
3.41,28.46,42,0,74.84,2,0.81,8.15
5.62,28.46,18,0,285.68,2,1.62,15.74
6.94,28.46,32,0,303.79,4,2.87,14.95
3.75,28.46,36,0,77.89,2,1.62,8.15
3.78,25.2,121,0,4.27,1,0,10.77
3.71,28.46,49,0,349.26,6,1.81,6.54
4.09,28.46,38,0,378.16,4,0.57,6.54
4.06,25.2,61,0,314.67,1,1.28,8.73
2.23,25.2,10,0,453.16,6,1.28,3.67
4.34,28.46,21,0,422.54,3,0.81,6.69
2.95,28.46,20,0,119.19,3,0.81,4.73
2.79,28.46,15,0,124.23,2,1.28,4.01
3.86,25.2,52,0,246.62,6,0.57,8.73
4.34,28.46,88,0,138.62,0,0.57,9.19
4.44,21.94,61,0,21.96,2,0.57,9.17
5.32,21.94,84,0,242.09,2,0.57,11.31
3.92,21.94,85,0,35.86,3,1.28,8.68
2.54,21.94,20,0,110.77,2,0.57,4.93
2.97,25.2,70,0,68.6,4,0.57,5.85
3.66,21.94,32,0,194.45,4,0.81,5.76
2.5,21.94,74,0,5.88,1,0.81,5.68
2.08,28.46,38,0,458.15,4,0.81,4.62
4.86,28.46,2,0,520.38,4,4.86,4.86
2.54,28.46,17,0,850.5,6,0.81,3.67
4.12,28.46,29,0,772.38,1,1.72,7.18
3.4,28.46,50,0,443.71,4,0.57,7
4.56,28.46,31,0,351.27,5,1.81,7.69
13.45,21.94,7,0,602.52,2,11.54,15.49
3.95,21.94,62,0,593.16,3,1.28,6.71
2.89,21.94,17,0,847.82,5,1.72,4.37
4.13,21.94,17,0,871.87,6,1.72,5.73
4.08,21.94,23,0,634.07,8,1.81,5.9
4.09,21.94,28,0,643.24,8,2.87,5.85
5.29,21.94,71,0,338.55,3,0,12.67
3.67,28.46,42,0,835.11,8,0.57,7.34
4.38,28.46,17,0,725.23,5,0,9.07
5.62,21.34,435,0,3.79,-1,0,17.21
8.58,15.16,109,0,0,7,0.81,20.87
6.06,28.45,32,0,330.8,8,2.36,9.33
5.86,28.45,29,0,138.58,13,1.72,8.62
3.57,28.45,45,0,301.17,12,0.81,5.29
5.77,28.45,72,0,394.71,7,0.81,10.54
2.88,28.45,41,0,112.92,9,0,5.65
4.07,28.45,77,0,252.05,10,0.57,9.46
1.92,28.45,15,0,235.46,10,0.81,3.67
3.31,28.45,23,0,457.5,11,0.57,7.96
2.89,25.06,23,0,278.73,10,1.28,4.9
3.43,21.68,24,0,54.06,6,0.57,10.95
2.56,25.06,118,0,162.82,10,0.57,9.24
6.59,28.45,26,0,54.55,8,1.28,22.03
7.34,28.45,20,0,375.72,21,1.15,14.95
7.51,28.45,38,0,71.02,8,2.87,13.81
5.71,28.45,20,0,171.05,19,0.81,13.42
11.87,28.45,3,0,137.22,10,5.65,20.77
3.62,28.45,12,0,317.37,8,1.81,5.13
4.6,28.45,15,0,472.03,14,1.28,8.62
3.59,25.06,50,0,209.03,5,0,11.03
2.04,21.68,13,0,416.83,10,1.28,3.24
5.94,25.06,71,0,189.04,6,1.28,13.07
2.79,21.94,33,0,21.32,5,0.81,5.99
4.01,21.94,2,0,294.45,8,3.09,4.93
4.06,21.94,63,0,472.59,3,1.28,6.9
3.55,21.94,37,0,284.83,3,0.57,6.9
4.87,13.3,43,0,0,8,0.81,12.88
5.19,11.61,7,0,695.28,8,4.62,5.76
3.5,21.94,79,0,543.81,7,0.57,7
3.67,21.94,17,0,4.6,6,1.72,5.41
4.75,21.94,47,0,398.28,5,1.28,9.46
4.56,21.94,31,0,269.05,8,1.15,8.11
4.35,21.94,49,0,193.83,6,1.28,9.26
4.61,21.94,20,0,104.56,5,1.62,7.18
2.49,17.01,21,0,3.45,7,1.15,3.49
4.33,17.01,24,0,7.43,9,0.81,6.54
3.19,11.61,48,0,4.46,6,0,5.41
9.8,17.01,4,0,376.98,7,3.85,16.64
3.27,21.94,25,0,548.63,6,1.15,6.2
5.34,21.94,23,0,604.12,7,3.09,8.11
2.9,21.27,3,1,0,2,0,10.57
2.16,20.55,0,1,0,2,0,12.57
9.79,19.07,0,0,44.87,3,0.57,20.87
3.74,13.26,74,0,306.33,8,0.81,5.9
9.51,18.62,0,0,745.94,19,1.15,14.7
9.2,18.62,0,0,747.08,18,1.15,16.63
10.19,18.62,0,0,643.6,21,4.59,15.49
7.58,18.62,16,0,703.4,21,2.36,15.49
6.38,18.62,4,0,792.78,29,1.72,11.07
17.03,16.36,0,0,5.05,1441,12.88,24.34
14.98,16.36,6,0,57.74,1461,11.03,18.93
7.95,16.36,11,0,48.27,1458,5.76,11.03
35,14.06,0,1,1247.93,2077,12.31,72.72
30.53,9.39,0,1,0,1907,0.81,99.63
29.44,13.36,0,1,364.14,1658,3.67,68.89
24.33,13.02,0,0,749.95,1907,10.71,40.07
29.31,7.76,0,0,0,2256,3.67,79.55
26.03,7.76,0,0,0,2410,8.52,44.41
21.19,5.98,0,1,0,2414,1.81,106.12
26.23,9.31,0,0,61.44,1836,16.63,34.98
15.56,9.31,0,0,77.67,1825,10.34,20.55
26.69,9.31,0,1,57.91,1826,1.15,51.9
17.18,29.29,0,0,106.49,888,3.09,35.92
4.93,26.89,0,0,187.13,885,1.62,9.17
13.72,26.89,0,1,0,870,1.15,31.66
7.09,24.49,12,0,393.5,881,2.07,9.46
3.5,24.49,0,0,1760.66,895,0.57,5.99
5.04,24.49,0,0,1771.95,895,0.57,7.8
5.87,24.49,0,0,1775.5,892,0.57,8.75
19.63,29.29,0,0,58.98,878,1.72,30.82
3.97,17.01,32,0,139.17,8,1.15,5.73
4.65,17.01,0,0,301.68,7,3.63,5.68
10.3,17.01,1,0,286.42,9,9.9,10.71
3.89,17.01,14,0,477.23,7,1.28,6.71
7.63,17.01,0,0,400.61,9,5.44,9.81
8.69,17.01,0,0,400.61,7,1.62,16.64
6.38,17.01,0,0,380.48,7,4.37,8.68
2.16,11.61,10,0,0,0,0,12.63
5.45,11.61,9,0,379.83,6,3.44,7.45
8.55,11.61,13,0,288,3,7.3,10.26
4.66,17.01,37,0,90.56,4,0.57,10.03
5.4,21.94,39,0,492.41,4,1.28,10.52
2.75,21.94,23,0,158.55,5,0.57,4.9
3.28,21.94,20,0,375.42,5,2.07,5.65
3.88,19.47,37,0,9.29,7,1.72,7.18
1.93,11.61,14,1,0,0,0,9.49
4.18,11.61,53,0,210.34,1,0.81,7.65
2.34,17.01,21,0,120.85,9,1.28,3.34
4.53,17.01,54,0,8.42,5,0.57,8.9
1.51,17.01,32,0,282.64,7,0,2.92
3.96,19.47,80,0,400.43,4,1.72,7.18
3.54,17.01,17,0,112.08,5,2.92,4.05
3.48,17.01,17,0,115.27,7,1.28,5.73
4.06,18.26,72,0,11.26,20,1.28,9.24
21.4,10.06,0,0,0,1028,0.81,61.55
14.1,29.29,0,1,69.81,868,7.34,19.26
14.12,24.49,0,0,461.25,894,3.34,24.17
16.17,21.91,0,0,12,1029,1.15,53.2
6.29,26.03,0,0,935.68,894,0.57,18.72
15.56,5.68,0,0,0,901,0,48.5
4.73,24.49,5,0,517.39,881,2.92,6.54
4.88,27.56,0,0,928.8,896,4.62,5.13
3.69,16.78,167,0,12.84,5,0,9.24
4.71,21.94,29,0,387.88,2,1.28,10.34
2.96,17.01,34,0,485.22,7,0.57,6.69
3.25,17.01,6,0,358.91,12,0,5.19
2.61,17.01,15,0,359.41,9,0,5.73
3.26,17.01,20,0,331.83,11,0.81,5.19
4.02,17.01,10,0,690.94,8,0.81,5.41
2.95,17.01,55,0,201.11,10,1.15,5.73
3.11,17.01,12,0,352.88,8,1.28,4.37
4.73,17.01,16,0,555.77,7,2.43,8.15
3.84,17.01,41,0,567.83,7,0.57,8.15
3.07,21.94,34,0,104.56,6,1.62,5.41
4.65,19.47,62,0,7.41,-1,0,16.16
4.1,21.94,4,0,0,4,2.92,5.29
3.1,17.01,2,0,0,5,2.87,3.34
2.75,17.01,4,0,0,5,1.81,4.13
10.61,17.01,5,0,0,5,10.34,10.89
3.16,17.01,30,0,10.64,5,0.81,7.69
3.34,19.47,25,0,9.94,4,2.07,5.99
4.55,21.94,11,0,6.28,6,3.24,5.29
3.09,21.94,1,0,0,6,3.09,3.09
5.11,21.94,1,0,7.65,6,3.09,7.48
4.99,17.01,3,0,11.99,7,3.34,5.9
2.96,21.94,10,0,178.19,5,1.28,5.99
2.65,21.94,27,0,94.4,5,0.81,5.99
2.15,21.94,27,0,178.19,5,1.15,2.92
2.34,21.94,34,0,308.07,5,0.57,6.33
2.67,21.94,27,0,505.46,7,0.81,6.71
3.16,19.47,66,0,0,6,0.57,7.18
3.91,21.94,53,0,399.06,7,1.15,7.18
4.23,17.01,12,0,66.3,10,2.07,5.85
4.53,17.01,10,0,148.53,8,4.13,5.19
2.47,17.01,27,0,7.24,6,1.28,4.62
3.36,17.01,22,0,166.19,8,1.28,5.73
2.29,17.01,25,0,0,8,0.57,4.17
2.4,17.01,28,0,6.03,8,0.81,4.86
5.07,21.94,35,0,385.86,7,2.36,8.62
4.14,16.78,133,0,4.91,5,0.57,12.31
3.87,16.09,189,0,0,4,0.57,13.1
3.49,16.78,143,0,10.14,5,0,7.8
2.92,11.61,2,0,0,6,2.92,2.92
3.76,11.61,3,0,0,5,3.67,3.85
2.94,17.01,19,0,9.71,4,1.28,6.93
3.03,17.01,5,0,122.83,6,1.28,4.93
6.05,17.01,20,0,18.05,7,2.87,12.88
3.23,17.01,22,0,9.71,5,1.15,6.2
3.52,17.01,12,0,61.4,5,0.57,6.33
4.87,16.78,106,0,328.3,4,0.57,14
4.62,16.78,49,0,387.33,6,0.57,8.62
3.69,20.56,0,0,886.85,9,1.28,6.71
6.85,21.94,3,0,308.51,5,1.28,11.07
8.59,21.94,5,0,309.57,5,4.37,14.52
4.16,21.94,31,0,364.39,5,1.28,6.9
4.54,11.61,12,0,85.24,5,2.56,6.97
5.84,26.38,32,0,125.88,1,0.57,13.53
9.85,28.73,6,0,404.04,44,1.81,17.81
3.73,21.94,25,0,344.24,7,1.62,5.13
8.69,13.9,18,0,602.07,42,3.49,12.59
3.74,20.06,203,0,258.56,5,0.81,10.89
2.77,21.94,47,0,744.17,6,0.57,6.69
4.38,21.94,20,0,724.16,5,1.62,6.69
2.6,11.61,132,0,359.14,6,0,5.19
5.57,13.9,42,0,107.76,29,0.81,15.49
7.95,14.85,0,0,4.47,58,2.92,12.09
12.89,16.88,3,0,11.59,43,0,33.36
5.47,13.9,0,0,6.64,35,0.57,16.54
11.17,28.99,30,0,156.65,28,1.28,21.91
3.57,18.18,36,0,239.98,6,0.81,5.19
3.4,21.94,52,0,5.65,5,0.57,5.76
11.13,21.94,39,0,764.46,1,2.56,23.92
3.58,21.94,51,0,366.34,6,1.15,6.97
6.74,13.3,17,0,0,3,3.49,12.88
4.12,28.28,6,0,293.63,10,1.15,10.95
3.62,21.69,22,0,22.2,5,0,11.76
5.33,15.09,23,0,5.84,8,0,10.57
6.91,16.88,4,0,4.47,44,1.81,10.77
15.33,16.88,0,0,4.41,39,3.09,29.42
31.32,13.78,0,0,0,88,6.2,56.21
12.83,13.78,0,0,13.72,67,1.15,26.15
8.09,16.86,122,0,0,8,1.28,20.2
6.42,15.64,5,0,501.49,22,2.36,12.57
8.44,16.88,0,0,5.6,39,1.28,14.62
5.06,25.7,421,0,318.96,6,0.57,14.95
5.46,25.7,73,0,1509.99,7,1.28,9.86
4.5,25.7,36,0,260.12,7,2.43,7.45
5.29,25.7,135,0,260.29,9,0.57,12.82
2.59,25.7,26,0,37.05,7,1.28,4.05
5.32,25.7,0,0,1658.05,22,4.48,7.45
6,21.94,25,0,161.54,4,0.57,9.46
2.92,21.94,33,0,149.69,2,1.28,5.13
3.47,21.94,96,0,5.12,4,0.57,6.9
4.91,18.18,50,0,190.75,3,1.28,8.21
4.23,21.94,15,0,9.88,7,1.62,5.99
3.33,20.06,389,0,163.3,5,0,11.61
4.35,21.94,25,0,68.4,3,0.81,14.19
5.14,21.94,23,0,8.59,1,0.81,12.04
3.71,21.94,40,0,89.45,4,1.81,6.71
3.76,28.46,92,0,766.2,3,0.57,8.27
7.12,28.73,3,0,13.65,30,1.81,14.62
14.69,13.9,0,0,4.31,36,1.72,35.05
2.01,28.73,6,0,617.47,42,1.72,2.29
26.08,14.86,0,0,78.33,66,18.67,37.7
17.16,14.86,0,0,351.33,34,0.57,33.95
15.21,14.86,0,0,46.77,43,3.67,36.71
11.43,15.87,11,0,4.37,31,1.62,30.73
11.79,14.86,0,0,23.81,60,3.34,22.96
5.26,14.86,0,0,0,34,1.28,12.09
7.65,14.86,6,0,156.52,36,7.09,8.21
6.37,21.31,138,0,216.57,30,0.81,14.65
7.54,13.9,0,0,0,32,0.57,19.48
13.21,13.9,0,0,10.83,30,3.09,21.28
9.38,13.9,0,0,21.75,39,3.34,20.65
15.38,13.9,0,0,0,46,0.57,35.02
7.86,13.9,19,0,9.18,31,1.81,15.77
15.94,15.53,0,0,0,53,1.72,33.3
7.39,28.73,0,0,636.31,51,0.57,19.63
14.76,33.35,15,0,1067.6,36,7.65,21.79
15.02,31.65,0,0,90.61,31,4.05,34.4
22.23,9.46,0,0,0,569,0.57,59.1
24.45,16.36,0,0,29.93,1459,7.54,46.22
10.92,27.68,0,0,29.55,24,0,26.85
20.43,11.61,0,0,0,575,2.07,40.32
8.45,15.64,0,0,0,15,1.15,12.09
14.49,0,0,0,0,890,0.81,54.43
11.91,24.84,0,0,0,29,1.28,24.87
8.54,15.64,3,0,53.15,20,2.29,20.27
36.71,14.68,0,0,0,150,1.72,68.72
19.13,14.85,0,0,0,68,2.56,34.06
22.07,14.69,1,0,5.13,34,8.75,38.25
7.82,14.69,9,0,322.13,41,2.36,16.94
7.82,33.35,0,0,1209.58,65,4.62,10.14
15.52,24.11,0,0,0,28,1.62,33.26
9.14,27.35,0,0,4.29,32,1.28,20.29
7.32,24.84,0,0,31.07,28,1.72,20.27
20.25,16.71,60,0,0,449,0.57,60.8
5.8,21.94,15,0,215.32,5,3.49,9.33
7.22,20.06,6,0,196.41,0,0,19.87
13.74,14.86,0,0,21.28,100,0.81,32.19
15.79,14.86,0,0,78.33,63,8.62,22.96
12.24,14.68,0,0,224.81,116,4.17,22.74
12.93,14.86,0,0,0,54,0,28.47
14.81,14.86,0,0,12.77,33,1.28,28.81
9.07,15.39,0,0,69.95,40,2.07,20.87
8.29,27.67,3,0,54.05,29,2.36,15.23
34.19,11.51,0,0,0,50,8.92,68.92
10.84,13.78,8,0,10.28,56,1.28,30.86
9.07,12.79,0,0,154.89,995,2.07,16.43
7.17,13.78,0,0,9.09,68,3.09,10.14
14.94,11.7,0,0,0,803,0.57,37.61
16.08,31.39,13,0,642.55,14,14.52,17.95
13.64,31.39,10,0,679.51,9,10.88,16.42
6.25,31.39,20,0,707.11,2,1.15,12.59
10.33,31.39,2,0,308.12,6,6.49,15.38
17.06,31.39,4,0,782.58,10,16.54,17.47
8.24,31.39,49,0,681.08,2,1.15,16.54
9.78,31.39,42,0,614.09,8,1.72,20.07
4.05,25.7,3,0,1083.04,18,4.05,4.05
6.31,16.26,111,0,1.95,12,1.28,16.86
7.46,25.7,55,0,121.41,5,2.56,17.44
5.03,25.7,163,0,117.88,8,0,12.09
6.06,20.98,10,0,191.73,13,3.67,8.47
5.91,25.7,8,0,748.98,22,2.07,8.52
6.43,25.7,39,0,31.06,-1,1.28,13.42
4.82,25.7,0,0,86.49,8,4.59,5.16
6.76,25.7,60,0,228.86,23,3.44,14.16
5.8,25.7,6,0,387.53,29,5.68,5.99
4.18,21.74,308,0,67.71,4,0,10.57
4.1,18.18,60,0,308.67,6,0.57,7.8
3.63,18.18,37,0,396.03,10,0.57,6.71
7.13,18.18,11,0,346.91,8,5.44,8.21
4.33,20.71,108,0,126.07,7,1.28,8.47
3.75,28.46,124,0,535.56,4,0.57,14.1
3.8,20.56,51,0,406.76,4,0.57,6.54
3.75,20.56,78,0,83.5,7,1.28,9.76
3.04,20.56,25,0,593.94,8,1.15,4.62
3.86,16.39,140,0,0,5,0.57,12.38
4.23,16.09,66,0,0,3,0.57,8.21
4.37,16.09,66,0,0,7,1.15,7.99
